document_name,page_number,detection_type
F1969070.json,29,Deux Colonnes
F1969070.json,37,Ligne Horizontale (3+ layouts)
F1969071.json,8,Deux Colonnes
F1969072.json,9,Ligne Horizontale (3+ layouts)
F1969072.json,13,Deux Colonnes
F1969073.json,7,Ligne Horizontale (3+ layouts)
F1969079.json,2,Deux Colonnes
F1969079.json,5,Deux Colonnes
F1969087.json,2,Ligne Horizontale (3+ layouts)
F1969088.json,9,Deux Colonnes
F1969089.json,3,Ligne Horizontale (3+ layouts)
F1969089.json,4,Ligne Horizontale (3+ layouts)
F1969090.json,2,Ligne Horizontale (3+ layouts)
F1969090.json,14,Deux Colonnes
F1969091.json,2,Ligne Horizontale (3+ layouts)
F1969094.json,2,Ligne Horizontale (3+ layouts)
F1969094.json,14,Deux Colonnes
F1969097.json,2,Ligne Horizontale (3+ layouts)
F1969097.json,3,Ligne Horizontale (3+ layouts)
F1969098.json,8,Deux Colonnes
F1969100.json,2,Ligne Horizontale (3+ layouts)
F1969107.json,9,Ligne Horizontale (3+ layouts)
F1969108.json,9,Deux Colonnes
F1969109.json,9,Deux Colonnes
F1969110.json,11,Ligne Horizontale (3+ layouts)
F1970001.json,2,Deux Colonnes
F1970004.json,2,Ligne Horizontale (3+ layouts)
F1970006.json,5,Deux Colonnes
F1970007.json,17,Deux Colonnes
F1970010.json,6,Deux Colonnes
F1970012.json,8,Deux Colonnes
F1970012.json,11,Deux Colonnes
F1970013.json,4,Deux Colonnes
F1970022.json,12,Deux Colonnes
F1970022.json,13,Ligne Horizontale (3+ layouts)
F1970022.json,13,Layouts Imbriqués
F1970024.json,5,Ligne Horizontale (3+ layouts)
F1970026.json,7,Deux Colonnes
F1970031.json,3,Deux Colonnes
F1970034.json,3,Ligne Horizontale (3+ layouts)
F1970035.json,2,Deux Colonnes
F1970035.json,6,Ligne Horizontale (3+ layouts)
F1970037.json,4,Deux Colonnes
F1970038.json,3,Deux Colonnes
F1970040.json,2,Ligne Horizontale (3+ layouts)
F1970040.json,3,Ligne Horizontale (3+ layouts)
F1970042.json,5,Deux Colonnes
F1970050.json,6,Deux Colonnes
F1970059.json,8,Deux Colonnes
F1970061.json,8,Deux Colonnes
F1970064.json,6,Deux Colonnes
F1970066.json,2,Deux Colonnes
F1970069.json,12,Deux Colonnes
F1970070.json,8,Deux Colonnes
F1970072.json,2,Ligne Horizontale (3+ layouts)
F1970075.json,8,Deux Colonnes
F1970077.json,3,Deux Colonnes
F1970080.json,4,Deux Colonnes
F1970082.json,2,Deux Colonnes
F1970083.json,4,Deux Colonnes
F1970083.json,5,Deux Colonnes
